,age,studytime,failures,score,medu_fedu_mean,mjob_at_home,mjob_health,mjob_other,mjob_services,mjob_teacher,higher_no,higher_yes,romantic_no,romantic_yes
370,19,2.0,2.0,45.0,2.0,0,0,0,1,0,0,1,0,1
371,18,1.0,0.0,60.0,2.0,1,0,0,0,0,1,0,0,1
372,17,3.0,0.0,55.0,2.0,0,0,1,0,0,0,1,1,0
373,17,1.0,0.0,25.0,2.0,0,0,1,0,0,0,1,1,0
374,18,3.0,0.0,95.0,3.0,0,0,1,0,0,0,1,1,0
375,18,3.0,0.0,50.0,1.0,0,0,1,0,0,0,1,1,0
376,20,3.0,2.0,75.0,3.0,0,1,0,0,0,0,1,0,1
377,18,2.0,0.0,50.0,4.0,0,0,0,0,1,0,1,1,0
378,18,2.0,0.0,75.0,3.0,0,0,1,0,0,0,1,0,1
379,17,2.0,0.0,50.0,2.0,1,0,0,0,0,0,1,1,0
380,18,2.0,0.0,70.0,4.0,0,0,0,0,1,0,1,0,1
381,18,1.0,0.0,35.0,2.0,0,0,1,0,0,0,1,0,1
382,17,2.0,0.0,50.0,2.0,0,0,1,0,0,0,1,1,0
383,19,1.0,1.0,0.0,1.0,0,0,1,0,0,0,1,1,0
384,18,1.0,1.0,25.0,3.0,0,0,1,0,0,0,1,1,0
385,18,3.0,0.0,50.0,2.0,1,0,0,0,0,0,1,1,0
386,18,1.0,0.0,30.0,4.0,0,0,0,0,1,0,1,0,1
387,19,3.0,1.0,0.0,2.0,0,0,0,1,0,0,1,1,0
388,18,2.0,0.0,40.0,2.0,0,0,0,0,1,0,1,1,0
389,18,2.0,1.0,0.0,1.0,0,0,1,0,0,0,1,1,0
390,20,2.0,2.0,45.0,2.0,0,0,0,1,0,0,1,1,0
391,17,1.0,0.0,80.0,2.0,0,0,0,1,0,0,1,1,0
392,21,1.0,3.0,35.0,1.0,0,0,1,0,0,0,1,1,0
393,18,1.0,0.0,50.0,2.0,0,0,0,1,0,0,1,1,0
394,19,1.0,0.0,45.0,1.0,0,0,1,0,0,0,1,1,0
